FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality,ColorID,Color,QUALITYCATEGORY,prediction,error,error_decile,abs_error_decile,relative_error,PREDICTION2
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,0,Red,Low,5.302961,0.302960838782492,5,1,0.06059216775649841,5.0
10.2,0.44,0.58,4.1,0.092,11.0,24.0,0.99745,3.29,0.99,12.0,7,0,Red,Mid,6.6188226,-0.38117754762840494,3,1,-0.05445393537548642,7.0
10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5,7,0,Red,Mid,6.7327175,-0.2672826106757782,4,1,-0.03818323009653974,7.0
10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,3.18,0.77,9.0,6,0,Red,Mid,5.332972,-0.6670281068163231,3,2,-0.11117135113605385,5.0
10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,3.18,0.77,9.0,6,0,Red,Mid,5.332972,-0.6670281068163231,3,2,-0.11117135113605385,5.0
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,5,0,Red,Low,5.1376786,0.13767856670248957,4,0,0.027535713340497914,5.0
10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6,3,1,White,Low,4.978401,1.9784009762499482,8,7,0.659466992083316,5.0
10.3,0.27,0.56,1.4,0.047,3.0,8.0,0.99471,3.16,0.51,11.8,6,0,Red,Mid,6.043884,0.04388377780121466,4,0,0.00731396296686911,6.0
10.3,0.34,0.52,2.8,0.159,15.0,75.0,0.9998,3.18,0.64,9.4,5,0,Red,Low,5.197487,0.19748690751202425,5,0,0.03949738150240485,5.0
10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,9.3,6,0,Red,Mid,5.601599,-0.3984007694127296,3,1,-0.06640012823545494,6.0
10.3,0.59,0.42,2.8,0.09,35.0,73.0,0.999,3.28,0.7,9.5,6,0,Red,Mid,5.251479,-0.7485210149918,3,2,-0.12475350249863333,5.0
10.4,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,1.02,10.8,7,0,Red,Mid,6.4187436,-0.5812564382569008,3,2,-0.08303663403670011,6.0
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,7,0,Red,Mid,6.5496817,-0.45031834946200977,3,1,-0.06433119278028711,7.0
10.4,0.34,0.58,3.7,0.174,6.0,16.0,0.997,3.19,0.7,11.3,6,0,Red,Mid,6.513808,0.5138075994344948,5,1,0.08563459990574913,7.0
10.4,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,6,0,Red,Mid,5.7856274,-0.2143728015186639,4,0,-0.03572880025311065,6.0
10.4,0.43,0.5,2.3,0.068,13.0,19.0,0.996,3.1,0.87,11.4,6,0,Red,Mid,6.3485537,0.34855352511823146,5,1,0.05809225418637191,6.0
10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.99832,3.38,0.86,9.9,3,0,Red,Low,5.1991105,2.199110427206125,9,8,0.7330368090687083,5.0
10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3,6,0,Red,Mid,5.9374957,-0.06250438272390202,4,0,-0.010417397120650337,6.0
10.4,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,5,0,Red,Low,5.315323,0.31532267433665506,5,1,0.06306453486733102,5.0
10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,3,0,Red,Low,5.0428596,2.0428596758299085,8,7,0.6809532252766362,5.0
10.4,0.64,0.24,2.8,0.105,29.0,53.0,0.9998,3.24,0.67,9.9,5,0,Red,Low,5.3458805,0.34588068968621677,5,1,0.06917613793724335,5.0
10.5,0.26,0.47,1.9,0.078,6.0,24.0,0.9976,3.18,1.04,10.9,7,0,Red,Mid,6.494758,-0.5052416801927997,3,1,-0.07217738288468567,6.0
10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,6,0,Red,Mid,6.4158664,0.41586632897848386,5,1,0.06931105482974731,6.0
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,7,0,Red,Mid,6.5267057,-0.4732942944419669,3,1,-0.0676134706345667,7.0
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,7,0,Red,Mid,6.5267057,-0.4732942944419669,3,1,-0.0676134706345667,7.0
10.5,0.59,0.49,2.1,0.07,14.0,47.0,0.9991,3.3,0.56,9.6,4,0,Red,Low,4.8300924,0.8300923850025965,6,3,0.20752309625064913,5.0
10.6,0.31,0.49,2.2,0.063,18.0,40.0,0.9976,3.14,0.51,9.8,6,0,Red,Mid,5.3969846,-0.6030154579151255,3,2,-0.10050257631918758,5.0
10.6,0.31,0.49,2.5,0.067,6.0,21.0,0.9987,3.26,0.86,10.7,6,0,Red,Mid,6.431642,0.4316420357490758,5,1,0.07194033929151263,6.0
10.6,0.34,0.49,3.2,0.078,20.0,78.0,0.9992,3.19,0.7,10.0,6,0,Red,Mid,5.7344875,-0.2655123480635124,4,1,-0.044252058010585404,6.0
10.6,0.36,0.57,2.3,0.087,6.0,20.0,0.99676,3.14,0.72,11.1,7,0,Red,Mid,6.589094,-0.4109060638712414,3,1,-0.0587008662673202,7.0
10.6,0.36,0.59,2.2,0.152,6.0,18.0,0.9986,3.04,1.05,9.4,5,0,Red,Low,5.4731884,0.4731882202750173,5,1,0.09463764405500345,5.0
10.6,0.5,0.45,2.6,0.119,34.0,68.0,0.99708,3.23,0.72,10.9,6,0,Red,Mid,5.7183685,-0.28163167988124904,4,1,-0.04693861331354151,6.0
10.6,1.025,0.43,2.8,0.08,21.0,84.0,0.9985,3.06,0.57,10.1,5,0,Red,Low,5.172774,0.17277392171564543,4,0,0.034554784343129086,5.0
10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6,1,White,Mid,5.65864,-0.3413602114107608,3,1,-0.05689336856846013,6.0
10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6,1,White,Mid,5.65864,-0.3413602114107608,3,1,-0.05689336856846013,6.0
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,8,0,Red,High,6.6962705,-1.3037296117018027,1,4,-0.16296620146272534,7.0
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,8,0,Red,High,6.6962705,-1.3037296117018027,1,4,-0.16296620146272534,7.0
10.7,0.43,0.39,2.2,0.106,8.0,32.0,0.9986,2.89,0.5,9.6,5,0,Red,Low,5.0604663,0.060466473964768674,4,0,0.012093294792953735,5.0
10.8,0.29,0.42,1.6,0.084,19.0,27.0,0.99545,3.28,0.73,11.9,6,0,Red,Mid,6.4053206,0.4053207911883341,5,1,0.06755346519805568,6.0
10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,6,0,Red,Mid,5.729049,-0.2709505889607833,4,1,-0.04515843149346388,6.0
10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,6,0,Red,Mid,5.729049,-0.2709505889607833,4,1,-0.04515843149346388,6.0
10.8,0.45,0.33,2.5,0.099,20.0,38.0,0.99818,3.24,0.71,10.8,5,0,Red,Low,5.616713,0.6167130782523751,5,2,0.12334261565047502,6.0
10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,5,0,Red,Low,5.5228076,0.5228075964236636,5,1,0.10456151928473272,6.0
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,6,0,Red,Mid,6.1576777,0.15767750681726067,4,0,0.026279584469543444,6.0
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,6,0,Red,Mid,5.8221173,-0.1778826948463541,4,0,-0.029647115807725683,6.0
10.9,0.53,0.49,4.6,0.118,10.0,17.0,1.0002,3.07,0.56,11.7,6,0,Red,Mid,5.998178,-0.0018220149318981527,4,0,-3.036691553163588E-4,6.0
10.9,0.53,0.49,4.6,0.118,10.0,17.0,1.0002,3.07,0.56,11.7,6,0,Red,Mid,5.998178,-0.0018220149318981527,4,0,-3.036691553163588E-4,6.0
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,5,0,Red,Low,5.331185,0.33118480983229226,5,1,0.06623696196645845,5.0
11.1,0.42,0.47,2.65,0.085,9.0,34.0,0.99736,3.24,0.77,12.1,7,0,Red,Mid,6.688905,-0.3110951989538471,3,1,-0.044442171279121014,7.0
11.1,0.44,0.42,2.2,0.064,14.0,19.0,0.99758,3.25,0.57,10.4,6,0,Red,Mid,5.6269665,-0.3730336583701481,3,1,-0.062172276395024685,6.0
11.1,0.45,0.73,3.2,0.066,6.0,22.0,0.9986,3.17,0.66,11.2,6,0,Red,Mid,6.1646013,0.16460148502809524,4,0,0.027433580838015875,6.0
11.2,0.4,0.5,2.0,0.099,19.0,50.0,0.99783,3.1,0.58,10.4,5,0,Red,Low,5.3503036,0.35030381328726,5,1,0.07006076265745201,5.0
11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,3.06,0.72,11.0,6,0,Red,Mid,5.723671,-0.276328881999631,4,1,-0.04605481366660517,6.0
11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66,9.2,6,0,Red,Mid,5.797205,-0.202794954272699,4,0,-0.033799159045449834,6.0
11.4,0.36,0.69,2.1,0.09,6.0,21.0,1.0,3.17,0.62,9.2,6,0,Red,Mid,5.7039666,-0.29603322579312685,4,1,-0.04933887096552114,6.0
11.4,0.46,0.5,2.7,0.122,4.0,17.0,1.0006,3.13,0.7,10.2,5,0,Red,Low,5.627958,0.6279578156971555,5,2,0.1255915631394311,6.0
11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.63,10.5,6,0,Red,Mid,5.714234,-0.2857662477044052,4,1,-0.0476277079507342,6.0
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6,0,Red,Mid,5.662682,-0.33731795295142764,3,1,-0.05621965882523794,6.0
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6,0,Red,Mid,5.662682,-0.33731795295142764,3,1,-0.05621965882523794,6.0
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6,0,Red,Mid,5.662682,-0.33731795295142764,3,1,-0.05621965882523794,6.0
11.5,0.31,0.51,2.2,0.079,14.0,28.0,0.9982,3.03,0.93,9.8,6,0,Red,Mid,5.974339,-0.025661144996643515,4,0,-0.0042768574994405855,6.0
11.5,0.42,0.48,2.6,0.077,8.0,20.0,0.99852,3.09,0.53,11.0,5,0,Red,Low,5.671062,0.6710617593133099,5,2,0.13421235186266198,6.0
11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,1.11,11.0,6,0,Red,Mid,6.0122137,0.012213478548557255,4,0,0.002035579758092876,6.0
11.6,0.32,0.55,2.8,0.081,35.0,67.0,1.0002,3.32,0.92,10.8,7,0,Red,Mid,6.178258,-0.821742160100805,2,3,-0.11739173715725786,6.0
11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,7,0,Red,Mid,6.2298064,-0.7701935027629467,3,2,-0.11002764325184954,6.0
11.6,0.41,0.58,2.8,0.096,25.0,101.0,1.00024,3.13,0.53,10.0,5,0,Red,Low,5.2839518,0.28395187332151206,5,1,0.05679037466430241,5.0
11.6,0.44,0.64,2.1,0.059,5.0,15.0,0.998,3.21,0.67,10.2,6,0,Red,Mid,5.823329,-0.17667115382013066,4,0,-0.02944519230335511,6.0
11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,3,0,Red,Low,4.840445,1.840444967885512,8,6,0.6134816559618373,5.0
11.7,0.28,0.47,1.7,0.054,17.0,32.0,0.99686,3.15,0.67,10.6,7,0,Red,Mid,6.158082,-0.8419179310183891,2,3,-0.12027399014548415,6.0
11.7,0.45,0.63,2.2,0.073,7.0,23.0,0.99974,3.21,0.69,10.9,6,0,Red,Mid,5.9361644,-0.06383582283077693,4,0,-0.010639303805129488,6.0
11.8,0.23,0.38,11.1,0.034,15.0,123.0,0.9997,2.93,0.55,9.7,3,1,White,Low,5.2613325,2.261332713336489,9,8,0.7537775711121629,5.0
11.8,0.26,0.52,1.8,0.071,6.0,10.0,0.9968,3.2,0.72,10.2,7,0,Red,Mid,6.029581,-0.9704191633462953,2,3,-0.13863130904947077,6.0
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,5,0,Red,Low,5.3599367,0.359936685893663,5,1,0.0719873371787326,5.0
11.9,0.4,0.65,2.15,0.068,7.0,27.0,0.9988,3.06,0.68,11.3,6,0,Red,Mid,6.2163577,0.21635758881404143,5,0,0.036059598135673575,6.0
12.0,0.37,0.76,4.2,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,7,0,Red,Mid,6.3114815,-0.6885186151430158,3,2,-0.09835980216328798,6.0
12.0,0.45,0.55,2.0,0.073,25.0,49.0,0.9997,3.1,0.76,10.3,6,0,Red,Mid,6.020729,0.020728931570413778,4,0,0.0034548219284022963,6.0
12.0,0.63,0.5,1.4,0.071,6.0,26.0,0.99791,3.07,0.6,10.4,4,0,Red,Low,5.125468,1.1254679906016216,6,4,0.2813669976504054,5.0
12.1,0.4,0.52,2.0,0.092,15.0,54.0,1.0,3.03,0.66,10.2,5,0,Red,Low,5.720801,0.7208008755230537,6,2,0.14416017510461074,6.0
12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.9969,3.13,0.63,10.4,5,0,Red,Low,5.2860274,0.2860273831465143,5,1,0.057205476629302865,5.0
12.2,0.48,0.54,2.6,0.085,19.0,64.0,1.0,3.1,0.61,10.5,6,0,Red,Mid,5.604054,-0.3959462001663816,3,1,-0.0659910333610636,6.0
12.3,0.27,0.49,3.1,0.079,28.0,46.0,0.9993,3.2,0.8,10.2,6,0,Red,Mid,6.2110195,0.21101929270626218,5,0,0.03516988211771036,6.0
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,5,0,Red,Low,5.135068,0.13506781791713252,4,0,0.027013563583426502,5.0
12.3,0.5,0.49,2.2,0.089,5.0,14.0,1.0002,3.19,0.44,9.6,5,0,Red,Low,5.0585203,0.05852010825562459,4,0,0.011704021651124918,5.0
12.4,0.35,0.49,2.6,0.079,27.0,69.0,0.9994,3.12,0.75,10.4,6,0,Red,Mid,5.894115,-0.1058850662398223,4,0,-0.017647511039970382,6.0
12.4,0.42,0.49,4.6,0.073,19.0,43.0,0.9978,3.02,0.61,9.5,5,0,Red,Low,5.406745,0.4067450384077995,5,1,0.0813490076815599,5.0
12.5,0.28,0.54,2.3,0.082,12.0,29.0,0.9997,3.11,1.36,9.8,7,0,Red,Mid,5.974162,-1.0258378394972043,2,3,-0.1465482627853149,6.0
12.5,0.37,0.55,2.6,0.083,25.0,68.0,0.9995,3.15,0.82,10.4,6,0,Red,Mid,5.8490453,-0.15095479528559697,4,0,-0.025159132547599494,6.0
12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,4,0,Red,Low,5.0672603,1.0672605027410338,6,4,0.26681512568525845,5.0
12.5,0.46,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87,10.2,5,0,Red,Low,5.929021,0.9290208720849815,6,3,0.18580417441699631,6.0
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,5,0,Red,Low,5.8847013,0.8847011094684119,6,3,0.17694022189368236,6.0
12.5,0.6,0.49,4.3,0.1,5.0,14.0,1.001,3.25,0.74,11.9,6,0,Red,Mid,6.556161,0.5561609630991393,5,2,0.09269349384985655,7.0
12.6,0.38,0.66,2.6,0.088,10.0,41.0,1.001,3.17,0.68,9.8,6,0,Red,Mid,5.8707147,-0.12928533840669498,4,0,-0.02154755640111583,6.0
12.6,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,6,0,Red,Mid,6.165384,0.16538366104050706,4,0,0.027563943506751176,6.0
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,5,0,Red,Low,5.3083324,0.30833228454119865,5,1,0.06166645690823973,5.0
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,5,0,Red,Low,5.3083324,0.30833228454119865,5,1,0.06166645690823973,5.0
12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,7,0,Red,Mid,6.070143,-0.9298567382621865,2,3,-0.13283667689459808,6.0
12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,7,0,Red,Mid,6.070143,-0.9298567382621865,2,3,-0.13283667689459808,6.0
12.8,0.84,0.63,2.4,0.088,13.0,35.0,0.9997,3.1,0.6,10.4,6,0,Red,Mid,5.4129515,-0.5870487494647527,3,2,-0.09784145824412545,5.0
12.9,0.5,0.55,2.8,0.072,7.0,24.0,1.00012,3.09,0.68,10.9,6,0,Red,Mid,5.97807,-0.02193045334682875,4,0,-0.0036550755578047913,6.0
13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,6,0,Red,Mid,6.2061143,0.20611431119352908,5,0,0.03435238519892151,6.0
13.2,0.38,0.55,2.7,0.081,5.0,16.0,1.0006,2.98,0.54,9.4,5,0,Red,Low,5.3305554,0.33055545976764034,5,1,0.06611109195352807,5.0
13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,3.1,0.56,9.0,6,0,Red,Mid,5.4527044,-0.5472957248163155,3,2,-0.09121595413605259,5.0
13.3,0.43,0.58,1.9,0.07,15.0,40.0,1.0004,3.06,0.49,9.0,5,0,Red,Low,5.1430125,0.1430127230842313,4,0,0.02860254461684626,5.0
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6,0,Red,Mid,6.166378,0.1663779048373275,4,0,0.02772965080622125,6.0
13.8,0.49,0.67,3.0,0.093,6.0,15.0,0.9986,3.02,0.93,12.0,6,0,Red,Mid,6.510378,0.5103780085111573,5,1,0.08506300141852623,7.0
14.0,0.41,0.63,3.8,0.089,6.0,47.0,1.0014,3.01,0.81,10.8,6,0,Red,Mid,6.156273,0.15627279043623155,4,0,0.02604546507270526,6.0
14.2,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54,11.1,6,1,White,Mid,5.868016,-0.13198410613713651,4,0,-0.021997351022856087,6.0
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,0,Red,Mid,5.8425803,-1.157419640089306,2,4,-0.16534566286990085,6.0
15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,5,0,Red,Low,5.5707016,0.5707014589828745,5,2,0.1141402917965749,6.0
15.6,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,5,0,Red,Low,5.5707016,0.5707014589828745,5,2,0.1141402917965749,6.0
15.6,0.685,0.76,3.7,0.1,6.0,43.0,1.0032,2.95,0.68,11.2,7,0,Red,Mid,5.8673368,-1.1326630543970033,2,4,-0.16180900777100046,6.0
3.9,0.225,0.4,4.2,0.03,29.0,118.0,0.989,3.57,0.36,12.8,8,1,White,High,7.2714777,-0.7285225348960651,3,2,-0.09106531686200814,7.0
4.2,0.17,0.36,1.8,0.029,93.0,161.0,0.98999,3.65,0.89,12.0,7,1,White,Mid,7.2282104,0.22821029854455244,5,0,0.032601471220650345,7.0
4.4,0.46,0.1,2.8,0.024,31.0,111.0,0.98816,3.48,0.34,13.1,6,1,White,Mid,6.932324,0.9323237769123356,6,3,0.15538729615205593,7.0
4.5,0.19,0.21,0.95,0.033,89.0,159.0,0.99332,3.34,0.42,8.0,5,1,White,Low,5.5843267,0.5843266029755458,5,2,0.11686532059510917,6.0
4.6,0.445,0.0,1.4,0.053,11.0,178.0,0.99426,3.79,0.55,10.2,5,1,White,Low,5.085906,0.08590615873382035,4,0,0.01718123174676407,5.0
4.7,0.145,0.29,1.0,0.042,35.0,90.0,0.9908,3.76,0.49,11.3,6,1,White,Mid,6.22715,0.227150053650238,5,0,0.03785834227503967,6.0
4.7,0.335,0.14,1.3,0.036,69.0,168.0,0.99212,3.47,0.46,10.5,5,1,White,Low,5.362277,0.3622768343984255,5,1,0.0724553668796851,5.0
4.7,0.785,0.0,3.4,0.036,23.0,134.0,0.98981,3.53,0.92,13.8,6,1,White,Mid,6.927412,0.9274119901967826,6,3,0.1545686650327971,7.0
4.8,0.225,0.38,1.2,0.074,47.0,130.0,0.99132,3.31,0.4,10.3,6,1,White,Mid,5.728286,-0.2717142186667054,4,1,-0.04528570311111757,6.0
4.8,0.26,0.23,10.6,0.034,23.0,111.0,0.99274,3.46,0.28,11.5,7,1,White,Mid,6.3372684,-0.6627316195220905,3,2,-0.09467594564601292,6.0
4.8,0.34,0.0,6.5,0.028,33.0,163.0,0.9939,3.36,0.61,9.9,6,1,White,Mid,5.667837,-0.3321628512035417,3,1,-0.05536047520059029,6.0
4.9,0.235,0.27,11.75,0.03,34.0,118.0,0.9954,3.07,0.5,9.4,6,1,White,Mid,5.8602133,-0.1397866204763094,4,0,-0.0232977700793849,6.0
4.9,0.335,0.14,1.3,0.036,69.0,168.0,0.99212,3.47,0.46,10.46666667,5,1,White,Low,5.335226,0.33522624256788625,5,1,0.06704524851357725,5.0
4.9,0.335,0.14,1.3,0.036,69.0,168.0,0.99212,3.47,0.46,10.46666667,5,1,White,Low,5.335226,0.33522624256788625,5,1,0.06704524851357725,5.0
4.9,0.345,0.34,1.0,0.068,32.0,143.0,0.99138,3.24,0.4,10.1,5,1,White,Low,5.204769,0.2047692554871423,5,0,0.04095385109742846,5.0
4.9,0.47,0.17,1.9,0.035,60.0,148.0,0.98964,3.27,0.35,11.5,6,1,White,Mid,5.668955,-0.3310453824896653,3,1,-0.055174230414944216,6.0
5.0,0.2,0.4,1.9,0.015,20.0,98.0,0.9897,3.37,0.55,12.05,6,1,White,Mid,6.16794,0.16793994533980516,4,0,0.027989990889967526,6.0
5.0,0.24,0.19,5.0,0.043,17.0,101.0,0.99438,3.67,0.57,10.0,5,1,White,Low,5.5979557,0.5979556438872384,5,2,0.11959112877744768,6.0
5.0,0.27,0.32,4.5,0.032,58.0,178.0,0.98956,3.45,0.31,12.6,7,1,White,Mid,7.2198515,0.21985146991360605,5,0,0.03140735284480086,7.0
5.0,0.27,0.32,4.5,0.032,58.0,178.0,0.98956,3.45,0.31,12.6,7,1,White,Mid,7.2198515,0.21985146991360605,5,0,0.03140735284480086,7.0
5.0,0.27,0.4,1.2,0.076,42.0,124.0,0.99204,3.32,0.47,10.1,6,1,White,Mid,5.8397713,-0.160228551733816,4,0,-0.026704758622302666,6.0
5.0,0.3,0.33,3.7,0.03,54.0,173.0,0.9887,3.36,0.3,13.0,7,1,White,Mid,7.136805,0.1368051497222691,4,0,0.019543592817467013,7.0
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,6,1,White,Mid,5.583244,-0.4167559887903689,3,1,-0.06945933146506149,6.0
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,6,1,White,Mid,5.583244,-0.4167559887903689,3,1,-0.06945933146506149,6.0
5.0,0.33,0.18,4.6,0.032,40.0,124.0,0.99114,3.18,0.4,11.0,6,1,White,Mid,5.997975,-0.002025263863494331,4,0,-3.3754397724905516E-4,6.0
